,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ALOX15,3280.344567,10.84611453,0.691577048,15.68316148,1.97E-55,5.45E-51
CISH,284.3688043,4.406606624,0.343803326,12.81723094,1.31E-37,1.81E-33
PMCH,797.3716742,2.313227466,0.20011139,11.55969917,6.59E-31,6.07E-27
CD44,5856.438164,1.684442337,0.156250149,10.78042066,4.26E-27,2.94E-23
MME,1601.779536,4.357710291,0.43733892,9.964149286,2.19E-23,1.21E-19
CCL26,221.533678,7.849189779,0.813045087,9.654064578,4.72E-22,2.18E-18
COL6A1,25391.15882,1.301819056,0.138456482,9.402369913,5.33E-21,2.11E-17
SLC26A4,43.2375161,4.778356108,0.510538551,9.359442298,8.02E-21,2.77E-17
NABP1,572.6009013,1.501307173,0.165478329,9.072530415,1.16E-19,3.57E-16
ALPK2,5509.051985,1.355683019,0.151543013,8.945862935,3.69E-19,1.02E-15
CYP1B1,4757.240443,0.684970634,0.076934343,8.903314287,5.42E-19,1.36E-15
NewGene_14322,57.34154416,2.384396114,0.269453504,8.849007637,8.83E-19,2.03E-15
SERPINB11,74.77953102,5.783911428,0.660788578,8.75304389,2.08E-18,4.41E-15
APOLD1,430.3919762,2.323230447,0.266144218,8.729216287,2.56E-18,5.06E-15
KRT7,1104.436994,-1.577238459,0.181671512,-8.681815,3.90E-18,7.17E-15
SMR3B,34.80519098,5.511584204,0.637929514,8.639801238,5.63E-18,9.72E-15
OLFML2A,1550.062486,1.638768292,0.19489716,8.408374393,4.16E-17,6.75E-14
NewGene_10954,1.343261092,-29.67864008,3.543359612,-8.375847594,5.48E-17,8.41E-14
COL14A1,363.7793783,2.583422135,0.326816523,7.904808817,2.68E-15,3.90E-12
ITGA11,4460.661735,-1.600205689,0.21514299,-7.437870452,1.02E-13,1.41E-10
IL13RA2,3141.383898,1.305389145,0.177681316,7.346800302,2.03E-13,2.67E-10
MMP28,107.3121654,2.598969542,0.355529374,7.310140126,2.67E-13,3.20E-10
PABIR2,1880.274081,0.540399621,0.073892505,7.313321207,2.61E-13,3.20E-10
TMEM92,148.9953727,-2.501147276,0.34957529,-7.154817133,8.38E-13,9.64E-10
MALT1,4161.166011,0.634152771,0.088891738,7.133990017,9.75E-13,9.97E-10
NewGene_11142,0.55799763,-29.99762626,4.202280456,-7.138416051,9.44E-13,9.97E-10
NewGene_15480,0.725113848,-29.99694527,4.201051371,-7.140342409,9.31E-13,9.97E-10
NewGene_9745,0.531398184,-29.99307335,4.209933656,-7.124357723,1.05E-12,1.03E-09
NTRK1,210.5315583,1.648660061,0.234514904,7.03008651,2.06E-12,1.97E-09
TMEM235,30.87221433,1.776502575,0.252921526,7.023927938,2.16E-12,1.99E-09
CDC20B,358.9696161,1.892640378,0.26969505,7.01770528,2.26E-12,2.01E-09
SERPINE1,7680.452885,-1.422124083,0.204197583,-6.964451108,3.30E-12,2.85E-09
NewGene_10723,76.54502373,-1.783955404,0.257279639,-6.93391599,4.09E-12,3.43E-09
DUOX2,23.55312451,2.677887511,0.387565315,6.909512809,4.86E-12,3.95E-09
NewGene_15668,0.727673787,-28.85873292,4.199263251,-6.872332407,6.32E-12,4.98E-09
TNFAIP6,141.5422456,2.951587731,0.434094556,6.799411995,1.05E-11,7.89E-09
APAF1,1827.664628,0.439742055,0.064681291,6.798597349,1.06E-11,7.89E-09
