"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALOX15",6510.17969400155,10.765698645251,0.738149561562176,14.5847118332863,3.51402637577823e-48,6.90435902312906e-44
"CISH",487.668187442583,4.19537178696395,0.323823873407125,12.9557210925253,2.18077158154211e-38,2.14239000170697e-34
"ALPK2",5549.43801003919,1.46694495597137,0.122436277857127,11.9812933033065,4.45321702452497e-33,2.91656026992889e-29
"CDC20B",333.898315199269,1.89647912539627,0.177025306161447,10.7130396581079,8.84103643110994e-27,4.3427170949612e-23
"CCL26",518.630195745499,8.36074736838381,0.802362681280571,10.420159814811,2.00615809359509e-25,7.88339884459126e-22
"SERPINB11",137.38820866596,5.39275699944271,0.544747013238574,9.8995623076155,4.18100827174231e-23,1.36914084205322e-19
"NewGene_14322",96.1861434675495,2.39359314123785,0.269140297145227,8.89347736710819,5.92257296238113e-19,1.66238162235521e-15
"DTWD2",932.102021109417,-1.198773116421,0.140072788525319,-8.5582155466571,1.14627899981431e-17,2.81526122354394e-14
"SMR3B",70.2684982034595,5.50223588756451,0.644819695816422,8.53298359721781,1.42620915300919e-17,3.11357304870273e-14
"IL13RA2",2397.52227856884,1.41221077684745,0.167243920121158,8.44401862754948,3.06610306860666e-17,6.02427930919836e-14
"CD44",6826.18833328908,1.66758293588667,0.203254192212935,8.20442086694901,2.31705074980328e-16,4.13867392110317e-13
"PMCH",615.961706658074,2.44120221953853,0.298290165760116,8.18398492393388,2.74608448911292e-16,4.49625567017423e-13
"GPC3",1115.09253409328,1.16386246320921,0.146185904751541,7.96152313854961,1.69934277248506e-15,2.56836052259896e-12
"APOLD1",670.287561816958,2.17439183861253,0.275091018050731,7.90426330172487,2.69522788491285e-15,3.78255982019769e-12
"E2F7",363.701269696841,1.34383566661144,0.172485813189181,7.79099244027408,6.64848926325538e-15,8.70863446962945e-12
"MME",3307.60889789507,4.25878817539265,0.559176702384095,7.61617599094341,2.61301359700582e-14,3.20878069712315e-11
"KRT7",577.631274809738,-1.43273805009498,0.1889812633891,-7.58137618725232,3.41908634393388e-14,3.95165932268311e-11
"SLC26A4",69.3524254481608,4.52095237595335,0.635568234038193,7.11324470581025,1.13346049540701e-12,1.23723510076427e-09
"MMP28",186.426337207544,2.69151925296079,0.378806333961744,7.10526464753518,1.20092191665682e-12,1.24187967465648e-09
"CYP1B1",5440.88124534051,0.630994760782129,0.0889550827393821,7.09340873338063,1.30848259934201e-12,1.28545330559359e-09
"ABCB5",183.594518803651,-1.86500138263802,0.267315451175982,-6.97678108180224,3.02019759722057e-12,2.82575439953285e-09
"TMEM71",96.8320958834249,5.22502014075079,0.783478196894413,6.66900516371989,2.57543193122215e-11,2.30009484475695e-08
"ALDH9A1",2766.37962616486,0.560353009463945,0.0844421142454942,6.63594243785582,3.22435662406372e-11,2.75444169346104e-08
