"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALOX15",6510.17969400155,10.765698645251,0.738149561562175,14.5847118332863,3.51402637577713e-48,6.90435902312691e-44
"CISH",487.668187442583,4.19537178696367,0.323823873404261,12.955721092639,2.18077157831074e-38,2.14238999853247e-34
"ALPK2",5549.43801003919,1.46694495597135,0.122436277853005,11.9812933037097,4.45321700286632e-33,2.91656025574391e-29
"CDC20B",333.898315199269,1.89647912539654,0.177025306158046,10.7130396583152,8.84103641130328e-27,4.34271708523217e-23
"CCL26",518.630195745499,8.36074736838382,0.802362681280569,10.420159814811,2.00615809359471e-25,7.88339884458978e-22
"SERPINB11",137.38820866596,5.39275699944161,0.544747013237213,9.89956230763821,4.18100827079283e-23,1.36914084174229e-19
"NewGene_14322",96.1861434675495,2.39359314123792,0.269140297142155,8.89347736720999,5.92257295695266e-19,1.66238162083151e-15
"DTWD2",932.102021109417,-1.19877311642104,0.140072788521496,-8.55821554689099,1.14627899748932e-17,2.81526121783377e-14
"SMR3B",70.2684982034595,5.5022358875626,0.644819695814904,8.53298359723494,1.42620915279802e-17,3.11357304824173e-14
"IL13RA2",2397.52227856884,1.41221077684741,0.167243920117282,8.44401862774494,3.066103063477e-17,6.02427929911962e-14
"CD44",6826.18833328908,1.66758293588667,0.203254192208902,8.20442086711183,2.3170507466633e-16,4.1386739154946e-13
"PMCH",615.961706658074,2.44120221953835,0.298290165757115,8.18398492401563,2.74608448724902e-16,4.49625566712239e-13
"GPC3",1115.09253409328,1.16386246320908,0.146185904747755,7.961523138755,1.69934276966383e-15,2.56836051833499e-12
"APOLD1",670.287561816958,2.17439183861233,0.275091018047574,7.90426330181487,2.69522788296581e-15,3.78255981746516e-12
"E2F7",363.701269696841,1.34383566661154,0.172485813185723,7.79099244043088,6.64848925500341e-15,8.70863445882046e-12
"MME",3307.60889789507,4.25878817539265,0.559176702384095,7.6161759909434,2.61301359700591e-14,3.20878069712326e-11
"KRT7",577.631274809738,-1.43273805009491,0.188981263385759,-7.58137618738599,3.41908634041058e-14,3.951659318611e-11
"SLC26A4",69.3524254481608,4.52095237595309,0.635568234037433,7.11324470581836,1.13346049534036e-12,1.23723510069152e-09
"MMP28",186.426337207544,2.69151925296055,0.378806333959824,7.10526464757055,1.20092191634918e-12,1.24187967433835e-09
"CYP1B1",5440.88124534051,0.63099476078219,0.0889550827348752,7.09340873374069,1.30848259593601e-12,1.28545330224754e-09
"ABCB5",183.594518803651,-1.86500138263773,0.267315451173257,-6.97678108187227,3.02019759571569e-12,2.82575439812485e-09
"TMEM71",96.8320958834249,5.2250201407514,0.78347819689508,6.66900516371498,2.57543193130833e-11,2.30009484483391e-08
"ALDH9A1",2766.37962616486,0.560353009463915,0.0844421142409015,6.63594243821639,3.22435661618085e-11,2.75444168672701e-08
"NTRK1",271.013919295542,1.65933975108773,0.251401364801153,6.60036095030824,4.10157928193584e-11,3.35782623881148e-08
"TNFSF10",285.713321684849,-1.895891698677,0.288646480892892,-6.56821345201332,5.09225110499611e-11,4.00210198843854e-08
"MALT1",4152.94353422415,0.696831111540334,0.107378714051107,6.48947156518074,8.61379613633074e-11,6.50937948025486e-08
"NewGene_9522",363.104520153417,-2.52034997562783,0.391625717989139,-6.43560894971084,1.22979279129242e-10,8.94924769011612e-08
"OLFML2A",1848.90569703673,1.71008160405492,0.269778166845495,6.33884359157314,2.31496096634857e-10,1.62444118095774e-07
"VCAM1",232.260237883587,2.25203047131485,0.362204628272371,6.2175640384732,5.04932113341005e-10,3.42100212514623e-07
"NewGene_394",19.8906917600884,3.65712904585125,0.59617612971206,6.13430975107568,8.55297289022523e-10,5.60162704490484e-07
"COL6A1",30756.1926419406,1.32421932068838,0.217789948622339,6.08025911693775,1.19988484944860e-09,7.60494758773097e-07
"NewGene_8058",34.1181919337422,2.62229066520823,0.434063875384525,6.04125524817105,1.52919839607078e-09,9.38927815187456e-07
"TENM2",4147.04467900871,0.462101658074465,0.0766935630563705,6.02529912105943,1.68797148909898e-09,1.0050079944793e-06
"COL14A1",663.26834143,2.35345479585896,0.392195962476771,6.00071143261285,1.96454855350563e-09,1.13527794056702e-06
