"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NewGene_18650",488.128959866166,-3.01918210750218,0.273102735420298,-11.0551148557913,2.07071618749111e-28,4.17207897455709e-24
"RARRES2",886.820319738624,-1.51044092236655,0.167949602928143,-8.99341764453463,2.39659494450943e-19,2.4143297470988e-15
"IL11",1232.88360417404,1.23796451035032,0.144917224028165,8.54256296069904,1.31277131961946e-17,8.8165721825643e-14
"HMGA2",1756.56916341129,1.13671192378838,0.136857808357985,8.30578786425567,9.91592569082308e-17,4.99465177046758e-13
"CLEC18A",2111.36765327053,0.906370751457652,0.112816805331148,8.03400476371588,9.43415300746942e-16,3.80158629588988e-12
"ABCB5",185.710212864201,-1.73807290071594,0.216946142737668,-8.01154092339691,1.13280027303298e-15,3.80394331684475e-12
"PLP1",2141.54900381726,1.22902691269742,0.168349819155285,7.3004350041135,2.8683883061895e-13,8.25604108472944e-10
"ENPP2",5691.06979642527,-1.10142581421453,0.153419967128097,-7.17915558732265,7.01432864460418e-13,1.76655866914356e-09
"CLEC18B",2116.68195154535,0.930926631803704,0.133340674374822,6.98156534882116,2.91909066324477e-12,6.53487096478395e-09
"S100A4",211.8155085863,-1.23577965372383,0.177634204975708,-6.95687890681206,3.4789373714623e-12,7.00936301602223e-09
"NewGene_18033",268.01550341674,3.17965457143576,0.463447465674447,6.86087379247713,6.8440610125451e-12,1.25358310255235e-08
"MT1G",124.861878758893,-2.90742270968602,0.426494242740257,-6.81702686302544,9.29438905915332e-12,1.56052792303184e-08
"COL10A1",45.6289547959903,4.77394242670639,0.731534980533271,6.52592501212492,6.75831281200725e-11,1.04743451181786e-07
"R3HDML",217.817062766461,1.76369683188169,0.272218398717294,6.47897732185742,9.23463808691103e-11,1.32899634410774e-07
"NewGene_2759",265.525768095998,-1.02902083538032,0.166366100396677,-6.18527953066619,6.19925200220597e-10,8.32683528936305e-07
"TMEM72",175.014657319694,-1.22988110132446,0.200181631217816,-6.1438259536722,8.05571099431014e-10,1.0144154069585e-06
"FMO1",227.050546142505,-1.65354805565565,0.271644732903166,-6.08717142417442,1.14922904061736e-09,1.36203921825639e-06
"SLC2A5",171.172215203301,-1.33151567557481,0.222148413515026,-5.99381131967772,2.04979186226797e-09,2.17364244426185e-06
"CPZ",243.420931914623,-0.905568819940636,0.150929609918618,-5.99994143249242,1.97388711376663e-09,2.17364244426185e-06
"CMTM3",902.221607582111,0.582238748073057,0.0974868206895323,5.97248678287828,2.33664082067433e-09,2.35393196274733e-06
"SPARCL1",2557.04752215289,-1.17935437394686,0.199576141243404,-5.90929540274313,3.43574105879928e-09,3.29634813584228e-06
"CLEC18C",1159.23877220079,0.871780023910793,0.147870235008975,5.89557475077984,3.7337942968806e-09,3.41947670425229e-06
"NewGene_4538",425.504524074188,-0.798759188356089,0.136053932376608,-5.87090115223616,4.33432653199763e-09,3.79687004202993e-06
"ACTC1",866.399693167026,-0.789276822557716,0.1359593242533,-5.80524231708632,6.42729819970908e-09,5.39571683865577e-06
"PDLIM1",4376.46169404644,-0.489007731978668,0.0852625885342905,-5.73531416750268,9.73317582696511e-09,7.84416106246772e-06
"MSC",61.6032917336259,1.6338092608426,0.28720610667956,5.68862995195804,1.28062638517562e-08,9.92386938789165e-06
"DAB2",3488.44258658807,-0.696819693140759,0.124777643286568,-5.58449153860376,2.3438492817326e-08,1.74903241956846e-05
"C6",150.12462206311,-3.14346625728734,0.569027900164806,-5.52427439212894,3.30850061110311e-08,2.38070251116091e-05
"ETNPPL",49.5906479507676,-3.12436280554703,0.567117957232531,-5.50919392641622,3.60480599978531e-08,2.42098770945581e-05
