"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NewGene_18650",488.128959866166,-3.01918210750073,0.273102735401347,-11.0551148565531,2.07071616991081e-28,4.1720789391363e-24
"RARRES2",886.820319738624,-1.51044092236588,0.16794960291421,-8.99341764527679,2.39659492832017e-19,2.41432973078974e-15
"IL11",1232.88360417404,1.23796451035038,0.144917224014848,8.54256296148442,1.31277131069433e-17,8.81657212262313e-14
"HMGA2",1756.56916341129,1.13671192378833,0.136857808344021,8.30578786510276,9.91592562007324e-17,4.99465173483089e-13
"CLEC18A",2111.36765327053,0.906370751457695,0.112816805319189,8.03400476456788,9.43415294192131e-16,3.80158626947661e-12
"ABCB5",185.710212864201,-1.73807290071565,0.216946142735002,-8.01154092349405,1.13280027213803e-15,3.80394331383952e-12
"PLP1",2141.54900381726,1.22902691269735,0.168349819137559,7.30043500488178,2.86838828980979e-13,8.25604103758395e-10
"ENPP2",5691.06979642527,-1.10142581421437,0.1534199671101,-7.17915558816377,7.01432860145507e-13,1.76655865827646e-09
"CLEC18B",2116.68195154535,0.930926631803685,0.133340674360758,6.98156534955741,2.91909064794375e-12,6.53487093053007e-09
"S100A4",211.8155085863,-1.23577965372385,0.177634204974981,-6.95687890684064,3.47893737075684e-12,7.00936301460088e-09
"NewGene_18033",268.01550341674,3.17965457142942,0.463447465645581,6.86087379289078,6.84406099272487e-12,1.25358309892201e-08
"MT1G",124.861878758893,-2.90742270968466,0.426494242728361,-6.81702686321239,9.29438904706326e-12,1.56052792100192e-08
"COL10A1",45.6289547959903,4.77394242670214,0.731534980524917,6.52592501219363,6.75831280890892e-11,1.04743451133767e-07
"R3HDML",217.817062766461,1.76369683188186,0.272218398707149,6.47897732209952,9.23463807209544e-11,1.32899634197556e-07
"NewGene_2759",265.525768095998,-1.02902083538046,0.166366100394189,-6.18527953075954,6.19925199853746e-10,8.32683528443552e-07
"TMEM72",175.014657319694,-1.22988110132445,0.20018163121791,-6.14382595366927,8.05571099445877e-10,1.01441540697722e-06
"FMO1",227.050546142505,-1.65354805565512,0.271644732893098,-6.08717142439809,1.14922903901248e-09,1.36203921635433e-06
"SLC2A5",171.172215203301,-1.33151567557451,0.222148413512949,-5.9938113197324,2.04979186157837e-09,2.17364244353058e-06
"CPZ",243.420931914623,-0.905568819940642,0.150929609918918,-5.99994143248055,1.97388711391092e-09,2.17364244353058e-06
"CMTM3",902.221607582111,0.582238748073134,0.0974868206830834,5.97248678327416,2.33664081500241e-09,2.35393195703343e-06
"SPARCL1",2557.04752215289,-1.17935437394668,0.199576141222292,-5.90929540336736,3.43574104578102e-09,3.29634812335219e-06
"CLEC18C",1159.23877220079,0.871780023910907,0.147870234995671,5.89557475131104,3.73379428486795e-09,3.41947669325088e-06
"NewGene_4538",425.504524074188,-0.798759188355964,0.136053932371655,-5.87090115244897,4.33432652643324e-09,3.79687003715552e-06
"ACTC1",866.399693167026,-0.789276822557022,0.135959324242687,-5.80524231753437,6.42729818252145e-09,5.39571682422676e-06
"PDLIM1",4376.46169404644,-0.489007731978558,0.0852625885236147,-5.73531416821952,9.73317578579757e-09,7.84416102928998e-06
"MSC",61.6032917336259,1.6338092608436,0.287206106691429,5.68862995172641,1.2806263869124e-08,9.92386940135043e-06
"DAB2",3488.44258658807,-0.696819693140579,0.124777643272214,-5.58449153924477,2.34384927308812e-08,1.74903241311776e-05
"C6",150.12462206311,-3.14346625728083,0.569027900139642,-5.5242743923618,3.30850060671549e-08,2.38070250800371e-05
"ETNPPL",49.5906479507676,-3.1243628055463,0.567117957229766,-5.50919392644178,3.60480599926189e-08,2.42098770910429e-05
"NewGene_9522",393.315936787519,-1.99661222688108,0.362117856627507,-5.51370828678823,3.51350778857655e-08,2.42098770910429e-05
"ODAM",45.8101877429671,2.45745433327468,0.447636398069283,5.48984475765157,4.02287166361951e-08,2.61460704124535e-05
"PIP5K1B",968.137962016486,-0.99765413969831,0.182103759888776,-5.47849281260117,4.28964009273475e-08,2.70086464338811e-05
"COBLL1",1073.50637545776,-1.08986862134949,0.199478361418459,-5.46359321181308,4.66592086320364e-08,2.84875677429778e-05
"DTWD2",1030.50177293325,-0.850126278979964,0.157852958592812,-5.38555809506807,7.22202027234347e-08,4.27968424844636e-05
"OXTR",1036.36537089501,-1.07147942233296,0.20031807227178,-5.34889044299129,8.84950887383466e-08,5.09428299400059e-05
"ADAMTS14",359.520912543141,1.29746855023578,0.243414707708374,5.33028000834784,9.80614548821248e-08,5.48817275823625e-05
"KLHDC7A",220.513828844345,-1.22849207982824,0.232308899624612,-5.28818345665347,1.23537045576026e-07,6.72709295747507e-05
"ACTN3",69.6046866484054,-1.77077066944722,0.336244763532535,-5.26631448723179,1.39189762717523e-07,7.37998773482275e-05
"CLU",22786.4300402172,-0.535526073245461,0.101938322740052,-5.25343226031962,1.49290599130875e-07,7.7125820289458e-05
"FRZB",2775.64170890173,-0.977341778692286,0.188990067796434,-5.17139228578407,2.32356196686377e-07,0.000111464586924694
