"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NewGene_18650",474.932556786765,-2.81180021472625,0.274041207702936,-10.2605014709112,1.06154026095383e-24,2.22562531111579e-20
"RARRES2",1432.20572478471,-1.41637623987344,0.152654064399578,-9.27833952829463,1.72140201574022e-20,1.80454573310047e-16
"ENPP2",7637.45217127808,-1.04904654781286,0.132802753008254,-7.89928314021971,2.80512018937928e-15,1.96040499635087e-11
"SLC2A5",249.533355086678,-1.30998941566839,0.171498078621169,-7.63850782586371,2.19753600553261e-14,1.15183849729992e-10
"S100A4",235.3584923547,-1.15741702920234,0.15460137560639,-7.48646009560154,7.07560441741084e-14,2.96694244430871e-10
"ABCB5",168.998315480747,-1.59740131222487,0.217979647227488,-7.32821312697049,2.33241592989045e-13,8.15023873101385e-10
"HMGA2",2855.25804162492,1.02877947575074,0.143500805220726,7.16915472473011,7.54622327961401e-13,2.26020167543411e-09
"MMP7",102.92337490943,2.41264878737805,0.338987270472662,7.11722532829629,1.10121378406028e-12,2.79494393754547e-09
"NewGene_18033",233.141750270961,2.99875313901483,0.422413088565132,7.09910090428566,1.2557110675856e-12,2.79494393754547e-09
"LTBP4",2410.3601089971,0.365818356305354,0.0515903313728149,7.09083168436709,1.33308401103953e-12,2.79494393754547e-09
"NewGene_2759",254.260759476737,-0.976253735979305,0.141866570303997,-6.88149247484696,5.92287040872566e-12,1.12889909990311e-08
"R3HDML",222.959195402632,1.66257504398367,0.242650288177503,6.85173323498163,7.29605205773139e-12,1.22992388579986e-08
"MSC",119.651824691667,1.51844710182313,0.221820016889306,6.84540161486363,7.62616165000391e-12,1.22992388579986e-08
"MT1G",191.370747472292,-2.63118233642,0.390006940976805,-6.74650130541262,1.51452705235835e-11,2.20494215644912e-08
"COL10A1",37.948077184353,4.75908580452453,0.707018795507326,6.73120125626874,1.682680268205e-11,2.20494215644912e-08
"CMTM3",993.723579164611,0.546127341426322,0.0810591451520692,6.73739329969212,1.61253272688397e-11,2.20494215644912e-08
"PLP1",2123.45910460481,1.11936324899103,0.166739611866473,6.71324130157762,1.90347943899844e-11,2.3475499951789e-08
"NewGene_4538",506.431573344573,-0.743949342586526,0.112980637134387,-6.5847508162095,4.55648925505162e-11,5.30729742896735e-08
"HRH2",366.893549412362,-1.14576873969395,0.175385808680971,-6.53284748812328,6.45308485298225e-11,6.9994910469229e-08
"TMEM72",260.051661393817,-1.1263939471869,0.17293369206892,-6.51344416296851,7.3446915497617e-11,6.9994910469229e-08
"IL11",1609.87859981872,1.09612563747106,0.168241988684134,6.51517285336531,7.26059998299242e-11,6.9994910469229e-08
"MRPS6",2906.44209733962,-0.55175808978637,0.0846508281477344,-6.51804715747648,7.12286016074548e-11,6.9994910469229e-08
"ETNPPL",46.4090696276828,-3.18608735574592,0.490168256760355,-6.49998712034838,8.03268885568726e-11,7.32231976297126e-08
"VCAN",9622.26274867807,0.791169663840758,0.123727676155598,6.39444373662846,1.61132865649156e-10,1.40762985883342e-07
"LOX",5264.32763544922,0.672628201675926,0.105294186304268,6.38808490083427,1.67976077103767e-10,1.40871457302303e-07
"CLEC18B",2503.03682493431,0.838730393554772,0.1327101126748,6.3200186982739,2.61531655549817e-10,2.10895103471441e-07
"SNTA1",941.363216483835,-0.606256244974569,0.09664682932589,-6.27290361415058,3.54376301481792e-10,2.75179760624713e-07
"ADAMTS14",372.58012151073,1.26811205566475,0.203781282710332,6.22290741720049,4.8802539222725e-10,3.65426441908447e-07
"CLEC18A",2608.1408829404,0.800303906820369,0.131405264025689,6.09034891223165,1.12664868219167e-09,8.14528147270018e-07
"PIP5K1B",1232.71653011647,-0.943877238865066,0.155492251480362,-6.07025256807908,1.27709240201047e-09,8.92517310018383e-07
"CLEC18C",1388.6662969017,0.800870092479925,0.132819094699544,6.02978129230298,1.64181714118793e-09,1.11039800587568e-06
"NewGene_14169",283.794974691305,-0.938456975886698,0.157086553292759,-5.97413945506662,2.31307877676275e-09,1.51550030105025e-06
"LDLRAP1",1800.0780569177,-0.57263452008955,0.0988326971971396,-5.79397847401986,6.87382726726691e-09,4.29319754761688e-06
"CLU",24825.1294127581,-0.499777178203744,0.086289958369708,-5.79183473542143,6.96216334155175e-09,4.29319754761688e-06
"FRZB",2878.50511718438,-0.927338213695801,0.162566906251878,-5.70434804399243,1.16789227132225e-08,6.99600838872637e-06
"ODAM",50.8842246890347,2.23404142898425,0.393189501111259,5.68184405400004,1.33250134615765e-08,7.76033978431701e-06
"KCNE2",153.76769773978,-0.856783898417992,0.151618811003317,-5.65090764627647,1.59602829181602e-08,9.04387274762557e-06
"ITPKB",3632.68848148855,-0.515060103275865,0.0912424621779315,-5.64496059160973,1.65219089447121e-08,9.11574586670614e-06
"ATP6V1C2",311.045422716385,1.21670846978062,0.215762052479001,5.63912168892183,1.70919720419735e-08,9.18846886748758e-06
"DAB2",4652.15481835938,-0.635070490401985,0.112782552067138,-5.63092853249087,1.79241994454211e-08,9.39496913931744e-06
"GPER1",137.597392810979,-1.07156846240944,0.192828963610737,-5.55709288866278,2.74304802155714e-08,1.37255529899867e-05
"KLHDC7A",298.903377248239,-1.12397873846325,0.202275280128428,-5.55667868930707,2.74956227024439e-08,1.37255529899867e-05
"DTWD2",1166.13825934404,-0.780739625537811,0.140718179974471,-5.54824988270493,2.88543288413947e-08,1.40688339183414e-05
"HSPA2",160.096355226037,-0.725172626685093,0.13251459270717,-5.47239826097925,4.43985658338667e-08,2.11559166198375e-05
"NewGene_9522",351.545957645506,-1.82208756950307,0.335293528133522,-5.4343058145085,5.5010166587076e-08,2.56298478369919e-05
"GMPR",568.034812037327,-1.0167605586489,0.189429190687115,-5.36749671452861,7.98369621627445e-08,3.63882988848718e-05
"SPARCL1",2354.43575110133,-1.04999880301956,0.195780364772931,-5.36314662727986,8.17845638274763e-08,3.64828758554653e-05
"PRIMA1",856.806765298484,-1.18358462303709,0.221635425773244,-5.34023213530864,9.28276414208429e-08,4.05463402089457e-05
"KL",264.007815229428,-1.57581157723846,0.296173115730568,-5.32057601970868,1.03439214118805e-07,4.425931761663e-05
"RPS6KA1",254.408936337888,-0.75383688114453,0.142092489306059,-5.30525494222857,1.12515631250103e-07,4.71800544957933e-05
"CRLF1",950.996988846035,1.31665495624425,0.251293848130217,5.23950333858543,1.61009333832517e-07,6.61906214339716e-05
"PLBD1",972.059255628291,-1.07273123990476,0.206062548529823,-5.20585253146814,1.93107960382865e-07,7.78596441805219e-05
"TNNC1",223.58650297956,-0.894864889189248,0.172094738207022,-5.19983875458625,1.9946148731207e-07,7.89039536412239e-05
"ABHD4",2128.73848894485,-0.347658472418674,0.0672153444618803,-5.17230812699087,2.31219881718678e-07,8.97732600021074e-05
"NQO1",5204.98891137087,-0.729006350471907,0.141284596001913,-5.1598431187929,2.47156861945409e-07,9.421619577359e-05
"KCNAB1",453.245405339904,-0.782448857962757,0.152981456949068,-5.11466470229302,3.14298746464289e-07,0.000117671205685184
"DCBLD1",743.981888604798,0.64793397349016,0.127483130803655,5.08250753966881,3.72484520540891e-07,0.000137008955397549
"SELENBP1",746.03277033135,-0.415842266130132,0.0822248670257629,-5.05737839624404,4.25059299721746e-07,0.000153651608240795
"CYP1B1",3781.66406958735,-0.424867820781164,0.0842859673943282,-5.04078951592783,4.63615165354333e-07,0.000164748399268118
"SLC5A3",8087.2292983664,-0.746328368445828,0.148291286486737,-5.03285382524871,4.83231591244261e-07,0.000168857225700453
"SMCO4",396.298686580261,-0.502757955568863,0.100158109113175,-5.01964304258945,5.17675850393411e-07,0.000177774929444529
"CA2",9622.679559313,-0.856702692721293,0.170779057727872,-5.01643880765759,5.26380310390908e-07,0.000177774929444529
"HHIP",185.37291047714,1.32833979553749,0.264946918765247,5.0136072603828,5.34189666841807e-07,0.000177774929444529
