,SN20A,SN20B,SN21A,SN21B,SN22A,SN22B,SN23A,SN23B,SN24A,SN24B,SN25A,SN25B
MBL2,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_15348,0,0,2,0,0,0,0,0,0,1,0,0
BLMH,2343,2147,2195,2768,2348,2568,2770,2254,2137,1981,2262,2223
NewGene_15345,0,0,4,3,5,0,0,0,2,0,2,3
NewGene_15342,0,0,0,2,0,0,0,0,0,0,0,0
NewGene_15343,352,341,1043,803,966,1024,1073,967,734,801,915,886
XXYLT1,2355,2231,1852,1807,1671,1606,2068,1444,2021,1658,2721,2257
NewGene_10648,5,4,20,21,23,35,49,19,28,41,15,25
NewGene_10649,0,0,9,8,6,19,13,10,13,7,9,4
ACAD9,1508,1292,1100,883,993,1113,975,940,1027,1001,1574,1226
ACAD8,980,722,1040,1004,1028,985,1224,899,1031,1047,1323,1055
NewGene_10642,3,0,0,2,5,1,0,3,3,8,7,4
NewGene_10643,5,5,2,0,0,0,2,2,3,0,0,0
NewGene_10640,29,24,42,51,63,52,41,50,59,121,44,26
NewGene_10641,1980,1470,1177,1681,984,1057,1694,757,1383,1580,1604,1332
NewGene_10644,60,41,22,42,17,12,38,15,19,15,30,28
NewGene_11115,31,30,35,30,55,62,44,58,53,51,48,26
NewGene_11114,0,0,5,6,0,9,8,4,0,10,2,2
ACADM,2041,1911,1742,2191,1857,1663,1970,1554,1909,1617,2213,2010
NewGene_11116,32,26,27,43,46,38,37,22,33,38,29,25
NewGene_11111,4,6,0,2,2,8,0,2,0,0,0,0
NewGene_11110,4,3,0,0,0,0,0,2,5,0,3,6
NewGene_11113,0,0,2,0,0,0,4,0,0,2,0,2
NewGene_11112,2,0,0,0,0,0,0,0,0,0,0,0
NewGene_11119,9,25,6,11,20,12,14,13,16,10,13,17
NewGene_105,4,8,2,4,5,2,4,0,5,0,6,5
ACADS,253,166,88,96,107,104,147,78,142,114,136,128
KCNH3,28,22,94,30,141,110,91,66,100,173,96,79
ERMP1,1717,1387,985,768,1142,907,1138,761,999,806,1496,1464
NewGene_6186,1,1,1,0,3,1,3,4,3,0,1,2
IFNA21,0,0,5,0,11,12,8,11,11,9,5,3
NewGene_16699,3,5,0,2,0,1,0,0,1,0,2,2
HLCS,1414,1494,1433,1389,1596,1592,1520,1432,1306,1188,1372,1184
NewGene_16697,5,1,2,0,0,0,0,0,0,2,0,0
NewGene_16695,6,5,0,1,0,0,0,0,2,0,0,0
NewGene_16694,7,12,10,2,8,5,4,0,11,9,2,2
NewGene_16693,3,5,1,0,2,0,0,1,1,2,3,5
NewGene_16692,2,0,4,3,8,4,6,9,9,5,6,4
NewGene_16691,6,11,6,3,18,10,7,11,6,6,9,9
NewGene_16690,173,124,65,31,55,45,45,47,59,59,116,114
NewGene_8779,0,0,5,2,2,2,4,4,0,0,2,4
NewGene_8774,13,10,12,11,10,13,10,13,0,12,9,15
NewGene_8775,37,21,9,48,12,9,15,14,17,15,20,22
NewGene_8772,9,0,0,6,0,6,4,0,0,0,4,4
NewGene_8773,30,28,24,50,21,22,28,15,27,35,45,40
NewGene_8770,507,486,486,543,402,425,640,352,513,627,630,490
NewGene_16860,29,27,25,36,29,34,40,22,31,40,43,33
H1-0,8824,8141,8904,15397,7923,7263,12815,6490,9536,8041,9855,9751
KRT4,0,2,2,0,0,14,8,2,4,0,0,2
NPPC,24,22,65,58,36,62,22,41,22,54,36,41
NPPB,286,381,61,25,46,52,37,40,45,24,56,73
NPPA,61,42,82,66,55,66,79,43,34,61,47,45
NewGene_13935,0,0,1,0,0,0,0,0,0,0,0,1
GLUL,15810,11719,7821,9727,7024,5756,8642,5250,8922,6128,12712,9317
GSTA3,214,133,0,7,16,0,6,0,35,13,89,113
GSTA2,0,0,0,0,0,0,0,0,0,0,0,0
GSTA1,0,0,0,0,0,0,4,3,0,0,0,0
TGDS,484,463,318,320,247,273,302,253,372,281,438,414
GSTA5,0,0,0,0,0,0,0,0,0,0,0,0
GSTA4,2346,2266,3514,3783,3979,4022,4052,3656,3464,3325,3539,3481
SARM1,2325,2328,4292,3281,4929,5264,4431,4831,3787,3985,3205,2839
LOC124908047,70,44,34,20,73,56,36,34,31,50,51,35
LOC124908046,57,32,19,9,25,6,19,13,28,7,44,29
LOC124908045,0,2,0,37,0,0,2,0,2,0,2,2
LOC124908044,17,12,18,65,13,14,23,20,22,40,20,24
LOC124908048,197,284,26,58,24,18,25,17,27,26,147,145
NewGene_17870,4,2,10,15,12,4,7,5,11,13,11,5
NewGene_17872,0,0,0,6,0,0,0,0,2,0,0,0
NewGene_17873,5,0,11,2,0,6,14,0,6,17,0,7
NewGene_17874,16,20,59,109,14,11,413,23,295,212,68,102
NewGene_17877,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_17879,0,0,0,3,0,0,0,0,0,0,0,0
SMPD4,1302,1224,1124,1188,927,1154,1440,994,1394,1199,1684,1350
ALG14,185,160,137,209,143,183,187,106,202,145,200,188
ALG13,1626,1560,1670,1650,1341,1634,1683,1339,1423,1433,1958,1880
ALG12,1593,1229,768,1103,805,766,745,636,863,771,1155,978
ALG11,2370,2307,2033,2400,1870,2166,2184,1772,2014,1821,2149,1947
ALG10,78,77,72,169,113,113,123,102,103,105,117,137
ALDH6A1,1913,1685,858,1306,1038,821,1236,749,1169,977,1270,1191
NewGene_157,0,0,0,0,0,1,0,0,0,0,0,0
COL26A1,6993,7547,5246,6104,3693,4225,4010,4426,4427,4409,5698,5384
NewGene_150,6,0,0,0,4,2,0,5,0,1,3,5
NewGene_153,86,46,9,3,6,6,11,0,14,12,41,32
NewGene_152,2,0,3,0,6,3,2,0,2,8,0,4
MGLL,264,172,812,179,810,807,687,874,297,405,219,216
FAM169A,621,605,1596,1028,1914,2049,1619,2018,1439,1240,2446,1822
STUM,483,506,1118,948,489,625,1302,525,1048,1086,822,852
EMC9,161,147,164,157,119,205,173,145,103,134,196,176
NXN,3,5,2,0,4,0,4,0,0,1,0,0
GARIN6,0,0,0,0,0,0,0,0,0,0,0,0
GARIN4,2,0,0,2,2,0,0,2,0,0,2,5
GARIN2,3,0,3,3,3,2,2,4,0,5,8,0
GARIN3,0,0,0,0,0,0,0,0,0,0,0,0
FAM162A,1691,1374,1126,1290,1116,1068,2038,982,1171,1037,1332,1127
NewGene_10869,0,0,0,0,0,0,0,3,0,0,0,0
OR5T2,0,0,0,0,0,0,0,0,0,0,0,0
OR5T3,0,0,0,0,0,0,0,0,0,0,0,0
OR5T1,0,0,0,0,0,0,0,0,0,0,0,0
XCR1,4,2,2,2,2,2,2,0,0,0,0,0
NewGene_10864,11,13,17,10,17,24,28,16,30,32,20,18
NewGene_17254,327,273,332,142,407,451,238,366,173,256,272,248
NewGene_10865,24,19,33,27,27,32,49,24,55,44,33,22
FAIM,156,181,278,268,255,307,331,281,221,200,272,249
NewGene_17251,3,3,5,0,0,5,2,5,5,4,0,7
NewGene_17252,0,0,0,0,0,0,0,0,0,0,4,0
LYZL2,0,0,0,0,0,0,0,0,0,0,0,0
LYZL1,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_17258,0,0,0,0,0,0,3,0,0,0,0,0
LYZL6,0,0,0,0,0,0,0,0,0,0,0,0
LYZL4,16,5,0,0,0,0,0,0,0,0,0,0
MTHFD2,3041,3271,5221,5879,9045,11193,5624,7185,5358,5619,11011,10492
ACIN1,6883,5909,5888,6628,4712,4891,6445,4176,5767,5867,8208,6386
MTHFD1,1859,1660,1667,1818,1569,1528,1653,1539,1397,1184,2170,1857
FAM90A16,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_11117,0,0,0,0,0,0,0,0,0,0,0,0
ACADL,109,183,263,86,269,180,145,152,276,200,514,349
CLEC7A,3,0,38,7,34,36,32,37,0,4,8,0
NewGene_12338,0,0,0,0,0,0,0,0,0,0,0,2
SCAP,4378,3773,3628,3273,3994,4028,3940,3240,3478,3516,4022,3675
NewGene_12759,2,0,0,0,0,0,0,0,0,0,1,0
RSRP1,1429,1191,1317,1177,908,1070,1555,938,1263,1494,1746,1363
B3GNTL1,130,112,111,136,85,108,147,107,96,121,132,110
NewGene_12752,0,0,4,8,4,5,5,10,13,2,3,0
NewGene_12753,0,6,0,11,4,24,11,9,9,2,0,4
NewGene_12750,3,9,0,0,0,2,0,6,1,0,0,0
NewGene_12751,6,7,4,0,0,5,2,3,0,11,5,0
NewGene_12756,1,0,0,0,0,0,0,0,0,0,0,4
NewGene_12757,0,0,0,0,6,15,8,10,0,3,0,0
NewGene_13405,198,244,170,181,218,198,295,238,233,232,199,233
NewGene_13406,28,25,38,31,30,19,20,16,21,25,17,21
XPNPEP3,1055,939,722,776,756,665,855,649,636,643,968,893
NewGene_13400,686,515,565,570,509,416,651,363,539,510,326,361
XPNPEP1,4314,3784,4817,3605,4530,5335,4840,4856,3935,4218,3915,3632
NewGene_13402,0,7,0,0,0,0,0,11,1,0,0,0
NewGene_13409,5,7,6,7,3,8,6,9,5,5,5,8
NewGene_13408,3,2,3,3,7,0,5,1,1,2,0,2
DCLK2,1102,1013,3732,3827,4009,4526,4104,3820,3157,3676,3046,2907
DCLK3,27,27,60,49,123,106,72,81,108,106,114,145
DCLK1,6407,7591,15202,7343,16726,18650,13520,16881,9355,11085,8622,8889
H1-6,0,0,0,0,0,0,0,0,0,0,0,0
HM13,6995,6224,3657,4080,4025,4073,3572,3479,3799,3757,5222,4223
NewGene_14751,16,7,0,0,9,12,7,6,0,3,8,10
NewGene_14752,3,3,2,0,0,0,0,0,0,0,0,0
NewGene_14753,382,288,611,445,610,627,561,537,458,511,549,451
NewGene_14754,15,7,43,31,35,42,61,43,59,80,44,26
NewGene_14758,8,0,0,0,0,0,0,0,0,0,2,0
NewGene_14759,7,4,0,0,0,0,0,0,0,0,0,0
RDH13,0,0,0,0,0,0,0,0,0,0,0,0
OR8B4,0,0,0,0,0,0,0,0,0,0,0,0
INPP1,494,363,895,378,883,962,673,754,629,628,903,716
SPATA5L1,358,346,325,342,328,383,326,258,247,280,341,324
MPIG6B,1,1,2,2,2,0,4,1,1,2,1,1
RFX6,4,1,7,4,15,12,12,8,2,2,9,0
CLMP,1134,891,4633,2176,4096,4686,3527,4392,2492,2974,1462,1749
NewGene_10989,0,0,4,0,3,7,4,0,6,3,3,6
CLMN,5365,3644,1476,952,1906,1582,1320,1169,1946,1426,2056,2073
OR8B3,0,0,0,0,0,0,0,0,0,0,0,0
LOC124905539,3,3,1,4,0,1,1,1,1,1,0,3
NewGene_10981,18,5,13,7,13,8,11,9,11,12,14,8
N4BP2L2,2429,2274,2199,2582,2122,2329,2305,1883,2056,2386,2563,2486
OR8B2,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_10985,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_10984,2,2,0,0,6,4,0,0,2,4,3,1
NewGene_10987,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_10986,0,0,2,2,0,0,4,0,0,0,0,0
NewGene_13063,10,15,8,5,6,5,4,2,6,11,27,16
ZNF347,453,420,560,564,555,660,598,562,496,525,527,530
