"","SN20A","SN20B","SN20C","SN20D","SN21A","SN21B","SN21C","SN21D","SN22A","SN22B","SN22C","SN22D","SN23A","SN23B","SN23C","SN23D","SN24A","SN24B","SN24C","SN24D","SN25A","SN25B","SN25C","SN25D"
"aDC",3.56901521333714e-20,0,6.27496506429467e-20,0,0,0,6.22889414619922e-19,0,0,0.00260708280850248,6.78354605366353e-20,0,0,0.00139575443663965,5.5188653808788e-20,0,3.77882825039499e-19,0,0,0,9.61498344490867e-21,0,0,0
"Adipocytes",0,6.49575016566551e-19,0,0,0,0,2.08075388724003e-19,0,6.07400233845857e-22,0,2.04192755539638e-20,1.34781158374164e-18,1.15094788878618e-19,3.22339761450664e-20,0,0,1.49030144161881e-22,0,0,7.55932379049949e-19,0.000144309166669074,0,0,0
"Astrocytes",0,8.80293616878879e-20,3.345947957874e-19,0,2.46436278270718e-19,0,2.27035606424509e-18,0,0,0,2.66596752774558e-18,0,2.48075411850095e-18,0,0.000204274164219656,0,0,7.09151522311004e-20,0.00407692072076541,0,0,1.52416768538994e-18,0,0
"B-cells",0,0,0,5.06561882996659e-20,0,1.68485355098181e-19,0,7.89353913513161e-19,0.000630541149721637,0.000232534445158767,0.000495565889639751,3.90774937492162e-20,2.14456037254509e-19,4.1935533003947e-05,0,8.05570511908819e-20,0,0.000246167808931171,0,3.1769939743038e-19,6.28464480701838e-21,0,1.8153186061461e-19,1.66540824627891e-20
"Basophils",0.0134172433094427,0.00939701663800991,0.011993090790276,0.0253674274609,0.00210593972319574,0.0231262387671753,0.035493769723428,0.0187072277751834,0,0,0.00406880315526408,0,0.0201920124732092,0.000189070938051772,0.00448970939522759,3.43358031427581e-19,0.00688904350130135,0,0.00510384552649414,0.012030037708425,0.0239670627680019,0.0231252107002211,0.0262564874620911,0.031948277590877
"CD4+ memory T-cells",1.10715356707663e-20,0.00080493394812175,0.00173134237080034,1.64056398482703e-21,2.22082950244756e-19,3.44099474671207e-22,0.000584172359075161,8.03374179071074e-19,0,5.49897104239918e-21,0,1.29734725593833e-20,0,1.80790861801772e-06,1.06325541050727e-20,1.02015366917524e-20,5.71199043007704e-20,3.60096662415822e-19,1.46595496129321e-20,0,7.58355052651766e-20,0,4.85607101501717e-20,9.31632203485703e-20
"CD4+ naive T-cells",0,1.08817330283551e-18,1.80773299768366e-20,4.69901594487098e-20,0.00199416989943768,7.78034711351174e-20,0,0,3.67023648797214e-19,0,0.00428744484323512,0,0.0105776538630308,3.34106416007344e-19,0.00637068694778896,0,0.00622640180961967,0.00453911306061289,0.00266998972833504,0.0079711275946104,0.00420132416250989,0.0038386872513214,0.00462078755184175,0.00721293773732754
"CD4+ T-cells",5.37894355740466e-20,0,0,0,3.20330365159831e-19,0,0,5.43547442912881e-18,0.00108674279438303,0.00146282745151814,3.16404286997233e-19,0.00197378776117653,4.03096215805342e-19,0.00170290485691125,6.69916727987549e-21,0.000588293749621962,0,5.5796089511007e-19,0,0,0,1.6712428388267e-18,0,1.45917546762116e-18
"CD4+ Tcm",0,0,1.39231523610293e-18,4.12895827217112e-20,1.48199671244755e-19,2.3839160522491e-19,0,0,0,0,1.17481684008226e-18,0,1.46489434402838e-19,0,6.05084220295809e-19,1.22858575409871e-18,1.26131879248318e-19,0,0,3.36642205283747e-19,0.00436686312581764,0.00353448482814284,0.00376576193514523,0.00704443088866159
"CD4+ Tem",8.09870890636719e-21,0,0,3.78059876038677e-18,0.000560269457046671,0,5.32732369677038e-19,0,0.0173945066426502,0.0223752780130174,0.0157133716068193,0.0199397983182624,0,0.0181615395138472,0,0.00931933444011354,2.71391678716186e-19,0.0028815301899765,0.000639487630912023,0,0.00217862330509306,9.7817737511222e-20,0.00109885966064781,0.000263419637887179
